Uri,Payload Area,Field,Identified Pii Type,Value,Field Name Category
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,uri_pii,phone,phones,['123-456-1111'],
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,uri_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,req_header_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,req_header_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,req_payload_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,req_payload_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,req_payload_pii,name,Person tags by NER,"['john', 'lenon']",
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,res_header_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,res_header_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,address,,,
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op1?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,name,Person tags by NER,"['john', 'lenon']",
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,uri_pii,phone,phones,['123-456-1111'],
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,uri_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,req_header_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,req_header_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,req_payload_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,req_payload_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,req_payload_pii,name,Person tags by NER,"['john', 'lenon']",
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,res_header_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,res_header_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,ssn,ssn_number,['123-45-6789'],personalIdentification
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,address,,,
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,phone,phones,['+1123-458-1234'],
POST http://localhost/myapi/op2?phone=123-456-1111&ssn=123-45-6789,res_payload_pii,name,Person tags by NER,"['john', 'lenon']",
